112 850
1 2 1
1 3 1
1 4 1
2 1 1
2 3 1
2 10 1
2 15 1
2 18 1
2 19 1
2 20 1
2 29 1
2 42 1
2 46 1
2 47 1
2 52 1
2 92 1
2 103 1
3 1 1
3 2 1
3 4 1
3 10 1
3 12 1
3 15 1
3 18 1
3 22 1
3 23 1
3 24 1
3 25 1
3 26 1
3 27 1
3 28 1
3 32 1
3 35 1
3 37 1
3 42 1
3 43 1
3 46 1
3 51 1
3 52 1
3 55 1
3 67 1
3 74 1
3 84 1
3 94 1
3 98 1
3 99 1
3 103 1
3 105 1
3 106 1
3 112 1
4 1 1
4 3 1
4 10 1
4 11 1
4 19 1
4 42 1
4 44 1
4 52 1
4 86 1
5 6 1
5 90 1
6 5 1
6 7 1
6 18 1
6 28 1
6 33 1
6 40 1
6 44 1
7 6 1
7 8 1
7 33 1
7 52 1
7 53 1
7 56 1
8 7 1
8 16 1
8 18 1
8 22 1
8 38 1
8 39 1
8 52 1
8 71 1
8 76 1
8 88 1
8 107 1
9 10 1
10 2 1
10 3 1
10 4 1
10 9 1
10 13 1
10 18 1
10 25 1
10 26 1
10 27 1
10 40 1
10 41 1
10 43 1
10 60 1
10 61 1
10 62 1
10 63 1
10 90 1
11 4 1
11 12 1
11 13 1
11 51 1
12 3 1
12 11 1
12 41 1
12 64 1
12 70 1
12 99 1
12 105 1
13 10 1
13 11 1
13 18 1
13 19 1
13 44 1
13 51 1
13 88 1
13 89 1
13 103 1
13 105 1
14 15 1
14 16 1
14 17 1
14 18 1
14 19 1
14 103 1
15 2 1
15 3 1
15 14 1
15 17 1
15 18 1
15 26 1
15 37 1
15 38 1
15 60 1
15 69 1
15 72 1
15 106 1
16 8 1
16 14 1
16 18 1
16 33 1
16 39 1
16 44 1
16 49 1
16 76 1
16 77 1
16 80 1
16 89 1
16 105 1
17 14 1
17 15 1
17 69 1
18 2 1
18 3 1
18 6 1
18 8 1
18 10 1
18 13 1
18 14 1
18 15 1
18 16 1
18 22 1
18 23 1
18 25 1
18 26 1
18 27 1
18 28 1
18 29 1
18 32 1
18 33 1
18 35 1
18 36 1
18 37 1
18 38 1
18 39 1
18 44 1
18 45 1
18 51 1
18 52 1
18 53 1
18 55 1
18 66 1
18 67 1
18 68 1
18 71 1
18 73 1
18 78 1
18 81 1
18 83 1
18 84 1
18 85 1
18 86 1
18 87 1
18 88 1
18 89 1
18 90 1
18 94 1
18 99 1
18 103 1
18 104 1
18 105 1
19 2 1
19 4 1
19 13 1
19 14 1
19 22 1
19 30 1
19 35 1
19 44 1
19 45 1
19 51 1
19 52 1
19 54 1
19 55 1
19 61 1
20 2 1
20 21 1
20 22 1
20 23 1
20 24 1
20 25 1
20 26 1
20 27 1
20 28 1
21 20 1
21 44 1
21 80 1
21 95 1
21 109 1
22 3 1
22 8 1
22 18 1
22 19 1
22 20 1
22 29 1
22 44 1
22 49 1
22 51 1
22 52 1
23 3 1
23 18 1
23 20 1
23 46 1
23 95 1
24 3 1
24 20 1
24 44 1
24 48 1
24 52 1
24 60 1
24 70 1
24 106 1
25 3 1
25 10 1
25 18 1
25 20 1
25 37 1
25 44 1
25 48 1
25 50 1
25 69 1
25 76 1
25 77 1
25 88 1
25 104 1
25 105 1
25 109 1
26 3 1
26 10 1
26 15 1
26 18 1
26 20 1
26 31 1
26 42 1
26 47 1
26 49 1
26 52 1
26 60 1
26 78 1
26 89 1
26 105 1
27 3 1
27 10 1
27 18 1
27 20 1
27 44 1
27 52 1
27 57 1
27 69 1
27 80 1
27 81 1
27 105 1
28 3 1
28 6 1
28 18 1
28 20 1
28 44 1
28 53 1
28 55 1
28 64 1
28 69 1
28 77 1
28 80 1
28 81 1
28 88 1
28 97 1
28 104 1
29 2 1
29 18 1
29 22 1
29 30 1
29 31 1
29 32 1
29 33 1
29 34 1
29 35 1
29 36 1
29 45 1
29 90 1
29 93 1
30 19 1
30 29 1
30 59 1
30 75 1
30 80 1
31 26 1
31 29 1
31 52 1
31 80 1
31 85 1
31 93 1
32 3 1
32 18 1
32 29 1
32 33 1
32 42 1
32 44 1
32 52 1
32 80 1
32 87 1
32 104 1
32 105 1
32 109 1
33 6 1
33 7 1
33 16 1
33 18 1
33 29 1
33 32 1
33 52 1
33 53 1
33 71 1
33 101 1
34 29 1
34 77 1
34 85 1
34 105 1
34 108 1
35 3 1
35 18 1
35 19 1
35 29 1
35 52 1
35 55 1
35 108 1
36 18 1
36 29 1
36 49 1
36 52 1
36 72 1
36 105 1
37 3 1
37 15 1
37 18 1
37 25 1
37 44 1
37 56 1
37 88 1
38 8 1
38 15 1
38 18 1
38 39 1
38 48 1
38 58 1
38 59 1
38 60 1
38 73 1
38 104 1
39 8 1
39 16 1
39 18 1
39 38 1
39 40 1
39 41 1
39 42 1
39 52 1
39 105 1
40 6 1
40 10 1
40 39 1
40 44 1
40 104 1
41 10 1
41 12 1
41 39 1
41 57 1
42 2 1
42 3 1
42 4 1
42 26 1
42 32 1
42 39 1
42 43 1
42 44 1
43 3 1
43 10 1
43 42 1
43 52 1
43 57 1
43 80 1
43 91 1
44 4 1
44 6 1
44 13 1
44 16 1
44 18 1
44 19 1
44 21 1
44 22 1
44 24 1
44 25 1
44 27 1
44 28 1
44 32 1
44 37 1
44 40 1
44 42 1
44 45 1
44 49 1
44 60 1
44 64 1
44 67 1
44 71 1
44 81 1
44 82 1
44 84 1
44 99 1
44 100 1
44 101 1
45 18 1
45 19 1
45 29 1
45 44 1
45 46 1
45 51 1
45 103 1
46 2 1
46 3 1
46 23 1
46 45 1
46 53 1
46 74 1
47 2 1
47 26 1
47 105 1
48 24 1
48 25 1
48 38 1
48 49 1
48 50 1
49 16 1
49 22 1
49 26 1
49 36 1
49 44 1
49 48 1
49 51 1
49 77 1
49 89 1
49 105 1
50 25 1
50 48 1
50 52 1
50 60 1
50 69 1
51 3 1
51 11 1
51 13 1
51 18 1
51 19 1
51 22 1
51 45 1
51 49 1
51 52 1
51 53 1
51 54 1
51 55 1
51 79 1
51 103 1
51 105 1
52 2 1
52 3 1
52 4 1
52 7 1
52 8 1
52 18 1
52 19 1
52 22 1
52 24 1
52 26 1
52 27 1
52 31 1
52 32 1
52 33 1
52 35 1
52 36 1
52 39 1
52 43 1
52 50 1
52 51 1
52 55 1
52 58 1
52 60 1
52 67 1
52 68 1
52 69 1
52 102 1
52 107 1
53 7 1
53 18 1
53 28 1
53 33 1
53 46 1
53 51 1
53 57 1
54 19 1
54 51 1
54 55 1
54 74 1
54 90 1
54 103 1
55 3 1
55 18 1
55 19 1
55 28 1
55 35 1
55 51 1
55 52 1
55 54 1
55 69 1
55 71 1
55 73 1
55 76 1
55 79 1
56 7 1
56 37 1
56 71 1
57 27 1
57 41 1
57 43 1
57 53 1
58 38 1
58 52 1
58 76 1
59 30 1
59 38 1
60 10 1
60 15 1
60 24 1
60 26 1
60 38 1
60 44 1
60 50 1
60 52 1
60 66 1
60 71 1
60 72 1
60 73 1
60 105 1
61 10 1
61 19 1
61 72 1
61 77 1
61 102 1
62 10 1
62 105 1
63 10 1
63 72 1
64 12 1
64 28 1
64 44 1
64 65 1
64 66 1
65 64 1
66 18 1
66 60 1
66 64 1
66 85 1
66 88 1
66 104 1
67 3 1
67 18 1
67 44 1
67 52 1
67 73 1
67 76 1
67 103 1
68 18 1
68 52 1
68 77 1
68 88 1
69 15 1
69 17 1
69 25 1
69 27 1
69 28 1
69 50 1
69 52 1
69 55 1
69 71 1
69 74 1
69 76 1
69 85 1
70 12 1
70 24 1
71 8 1
71 18 1
71 33 1
71 44 1
71 55 1
71 56 1
71 60 1
71 69 1
71 76 1
71 88 1
71 103 1
71 106 1
72 15 1
72 36 1
72 60 1
72 61 1
72 63 1
72 74 1
73 18 1
73 38 1
73 55 1
73 60 1
73 67 1
73 81 1
73 106 1
74 3 1
74 46 1
74 54 1
74 69 1
74 72 1
74 77 1
74 104 1
75 30 1
76 8 1
76 16 1
76 25 1
76 55 1
76 58 1
76 67 1
76 69 1
76 71 1
76 77 1
76 78 1
77 16 1
77 25 1
77 28 1
77 34 1
77 49 1
77 61 1
77 68 1
77 74 1
77 76 1
77 81 1
77 93 1
77 107 1
78 18 1
78 26 1
78 76 1
79 51 1
79 55 1
79 80 1
80 16 1
80 21 1
80 27 1
80 28 1
80 30 1
80 31 1
80 32 1
80 43 1
80 79 1
80 82 1
80 84 1
80 110 1
80 111 1
81 18 1
81 27 1
81 28 1
81 44 1
81 73 1
81 77 1
81 82 1
81 107 1
82 44 1
82 80 1
82 81 1
82 95 1
82 99 1
82 105 1
83 18 1
84 3 1
84 18 1
84 44 1
84 80 1
84 88 1
85 18 1
85 31 1
85 34 1
85 66 1
85 69 1
85 105 1
86 4 1
86 18 1
87 18 1
87 32 1
88 8 1
88 13 1
88 18 1
88 25 1
88 28 1
88 37 1
88 66 1
88 68 1
88 71 1
88 84 1
89 13 1
89 16 1
89 18 1
89 26 1
89 49 1
89 107 1
90 5 1
90 10 1
90 18 1
90 29 1
90 54 1
90 93 1
90 100 1
91 43 1
92 2 1
93 29 1
93 31 1
93 77 1
93 90 1
93 96 1
93 97 1
94 3 1
94 18 1
95 21 1
95 23 1
95 82 1
96 93 1
97 28 1
97 93 1
97 107 1
98 3 1
99 3 1
99 12 1
99 18 1
99 44 1
99 82 1
100 44 1
100 90 1
101 33 1
101 44 1
101 111 1
102 52 1
102 61 1
103 2 1
103 3 1
103 13 1
103 14 1
103 18 1
103 45 1
103 51 1
103 54 1
103 67 1
103 71 1
104 18 1
104 25 1
104 28 1
104 32 1
104 38 1
104 40 1
104 66 1
104 74 1
104 105 1
105 3 1
105 12 1
105 13 1
105 16 1
105 18 1
105 25 1
105 26 1
105 27 1
105 32 1
105 34 1
105 36 1
105 39 1
105 47 1
105 49 1
105 51 1
105 60 1
105 62 1
105 82 1
105 85 1
105 104 1
105 106 1
106 3 1
106 15 1
106 24 1
106 71 1
106 73 1
106 105 1
106 109 1
107 8 1
107 52 1
107 77 1
107 81 1
107 89 1
107 97 1
108 34 1
108 35 1
109 21 1
109 25 1
109 32 1
109 106 1
110 80 1
111 80 1
111 101 1
112 3 1
7
1 1
2 2
100 100
1 105
4 97
17 44
55 101
